"film_id","title","rental_duration","rating","regular_revenue","late_revenue","total_revenue","rental_volume"
879,"TELEGRAPH VOYAGE",3,"PG","14.97","216.76","231.73","27"
973,"WIFE TURN",3,"NC-17","49.90","173.79","223.69","31"
1000,"ZORRO ARK",3,"NC-17","64.87","149.82","214.69","31"
369,"GOODFELLAS SALUTE",4,"PG","59.88","149.81","209.69","31"
764,"SATURDAY LAMBS",3,"G","44.91","159.81","204.72","28"
893,"TITANS JERK",4,"PG","54.89","146.82","201.71","29"
897,"TORQUE BOUND",3,"G","55.88","142.84","198.72","27"
403,"HARRY IDAHO",5,"PG-13","74.85","120.85","195.70","30"
460,"INNOCENT USUAL",3,"PG-13","39.92","151.82","191.74","26"
444,"HUSTLER PARTY",3,"NC-17","14.97","175.81","190.78","22"
670,"PELICAN COMFORTS",4,"PG","44.91","143.83","188.74","26"
127,"CAT CONEHEADS",5,"G","94.81","86.89","181.70","30"
284,"ENEMY ODDS",5,"NC-17","69.86","110.85","180.71","29"
103,"BUCKET BROTHERHOOD",7,"PG","134.73","45.93","180.66","34"
715,"RANGE MOONWALKER",3,"PG","74.85","104.88","179.73","27"
563,"MASSACRE USUAL",6,"R","74.85","104.85","179.70","30"
941,"VIDEOTAPE ARSENIC",4,"NC-17","79.84","98.87","178.71","29"
239,"DOGMA FAMILY",5,"G","94.81","83.89","178.70","30"
31,"APACHE DIVINE",5,"NC-17","94.81","83.88","178.69","31"
938,"VELVET TERMINATOR",3,"R","49.90","127.84","177.74","26"
244,"DORADO NOTTING",5,"NC-17","59.88","116.85","176.73","27"
327,"FOOL MOCKINGBIRD",3,"PG","29.94","145.83","175.77","23"
979,"WITCHES PANIC",6,"NC-17","89.82","83.88","173.70","30"
159,"CLOSER BANG",5,"R","69.86","102.86","172.72","28"
767,"SCALAWAG DUCK",6,"NC-17","119.76","52.92","172.68","32"
745,"ROSES TREASURE",5,"PG-13","79.84","91.88","171.72","28"
865,"SUNRISE LEAGUE",3,"PG-13","54.89","115.87","170.76","24"
791,"SHOW LORD",3,"PG-13","54.89","115.86","170.75","25"
624,"NIGHTMARE CHILL",3,"PG","39.92","129.83","169.75","25"
771,"SCORPION APOLLO",3,"NC-17","44.91","123.86","168.77","23"
21,"AMERICAN CIRCUS",3,"R","44.91","122.87","167.78","22"
174,"CONFIDENTIAL INTERVIEW",6,"NC-17","89.82","74.89","164.71","29"
551,"MAIDEN HOME",3,"PG","39.92","123.84","163.76","24"
989,"WORKING MICROCOSMOS",4,"R","39.92","123.83","163.75","25"
775,"SEATTLE EXPECATIONS",4,"PG-13","35.92","127.83","163.75","24"
86,"BOOGIE AMELIE",6,"R","109.78","53.92","163.70","29"
846,"STING PERSONAL",3,"NC-17","39.92","119.87","159.79","21"
527,"LOLA AGENT",4,"PG","49.90","109.86","159.76","24"
48,"BACKLASH UNDEFEATED",3,"PG-13","14.97","143.84","158.81","19"
575,"MIDSUMMER GROUNDHOG",3,"G","39.92","116.86","156.78","22"
892,"TITANIC BOONDOCK",3,"R","50.89","103.88","154.77","23"
838,"STAGECOACH ARMAGEDDON",5,"R","64.87","89.87","154.74","26"
580,"MINE TITANS",3,"PG-13","29.94","123.87","153.81","19"
683,"PITY BOUND",5,"NC-17","79.84","73.90","153.74","26"
778,"SECRETS PARADISE",3,"G","29.94","122.86","152.80","20"
267,"EAGLES PANKY",4,"NC-17","44.91","107.87","152.78","22"
408,"HEAD STRANGER",4,"R","54.89","97.89","152.78","22"
972,"WHISPERER GIANT",4,"PG-13","39.92","111.86","151.78","22"
271,"EASY GLADIATOR",5,"G","39.92","110.85","150.77","23"
579,"MINDS TRUMAN",3,"PG-13","34.93","114.87","149.80","20"
307,"FELLOWSHIP AUTUMN",6,"NC-17","69.86","79.88","149.74","26"
985,"WONDERLAND CHRISTMAS",4,"PG","49.90","98.88","148.78","22"
856,"STREETCAR INTENTIONS",5,"R","79.84","68.91","148.75","25"
501,"KISSING DOLLS",3,"R","39.92","107.88","147.80","20"
861,"SUIT WALLS",3,"R","39.92","107.87","147.79","21"
902,"TRADING PINOCCHIO",6,"PG","64.87","82.88","147.75","25"
521,"LIES TREATMENT",7,"NC-17","94.81","52.92","147.73","27"
45,"ATTRACTION NEWTON",5,"PG-13","69.86","76.90","146.76","24"
330,"FORRESTER COMANCHEROS",7,"NC-17","99.80","46.93","146.73","27"
603,"MOVIE SHAKESPEARE",6,"PG","89.82","55.92","145.74","27"
911,"TRIP NEWTON",7,"PG-13","114.77","30.95","145.72","28"
350,"GARDEN ISLAND",3,"G","24.95","119.85","144.80","20"
263,"DURHAM PANKY",6,"R","99.80","44.94","144.74","26"
698,"PRINCESS GIANT",3,"NC-17","17.94","124.80","142.74","27"
112,"CALENDAR GUNFIGHT",4,"NC-17","49.90","91.89","141.79","21"
596,"MOONSHINE CABIN",4,"PG-13","49.90","91.89","141.79","21"
898,"TOURIST PELICAN",4,"PG-13","54.89","86.89","141.78","22"
843,"STEEL SANTA",4,"NC-17","64.87","76.90","141.77","23"
253,"DRIFTER COMMANDMENTS",5,"PG-13","74.85","66.91","141.76","24"
135,"CHANCE RESURRECTION",3,"R","14.95","126.78","141.73","27"
320,"FLAMINGOS CONNECTICUT",4,"PG-13","79.84","59.93","139.77","23"
313,"FIDELITY DEVIL",5,"G","44.91","93.88","138.79","21"
131,"CENTER DINOSAUR",5,"PG","79.84","57.92","137.76","24"
167,"COMA HEAD",6,"NC-17","104.79","32.95","137.74","26"
706,"QUEEN LUKE",5,"PG","49.90","86.88","136.78","22"
614,"NAME DETECTIVE",5,"PG-13","74.85","61.92","136.77","23"
172,"CONEHEADS SMOOCHY",7,"NC-17","79.84","56.91","136.75","25"
702,"PULP BEVERLY",4,"G","38.87","97.83","136.70","30"
361,"GLEAMING JAWBREAKER",5,"NC-17","30.89","105.81","136.70","29"
995,"YENTL IDAHO",5,"R","74.85","60.92","135.77","23"
324,"FLINTSTONES HAPPINESS",3,"PG-13","24.95","109.88","134.83","17"
971,"WHALE BIKINI",4,"PG-13","19.96","114.86","134.82","18"
439,"HUNCHBACK IMPOSSIBLE",4,"PG-13","49.90","84.90","134.80","20"
227,"DETAILS PACKER",4,"R","34.93","98.88","133.81","19"
680,"PINOCCHIO SIMON",4,"PG","49.90","83.90","133.80","20"
869,"SUSPECTS QUILLS",4,"PG","29.90","103.80","133.70","30"
621,"NETWORK PEAK",5,"PG-13","41.86","91.83","133.69","31"
409,"HEARTBREAKERS BRIGHT",3,"G","34.93","97.87","132.80","20"
500,"KISS GLORY",5,"PG-13","59.88","72.90","132.78","22"
61,"BEAUTY GREASE",5,"G","64.87","67.91","132.78","22"
518,"LIAISONS SWEET",5,"PG","59.88","71.90","131.78","22"
10,"ALADDIN CALENDAR",6,"NC-17","79.84","51.93","131.77","23"
804,"SLEEPING SUSPECTS",7,"PG-13","89.82","41.94","131.76","24"
572,"METROPOLIS COMA",4,"PG-13","32.89","98.85","131.74","26"
73,"BINGO TALENTED",5,"PG-13","41.86","89.85","131.71","29"
734,"ROAD ROXANNE",4,"R","39.92","90.89","130.81","19"
578,"MILLION ACE",4,"PG-13","54.89","75.91","130.80","20"
730,"RIDGEMONT SUBMARINE",3,"PG-13","5.94","124.74","130.68","32"
763,"SATISFACTION CONFIDENTIAL",3,"G","24.95","104.88","129.83","17"
412,"HEAVYWEIGHTS BEAST",6,"G","74.85","54.92","129.77","23"
215,"DAWN POND",4,"PG","39.92","88.90","128.82","18"
465,"INTERVIEW LIAISONS",4,"R","39.92","88.88","128.80","20"
129,"CAUSE DATE",3,"R","17.94","110.85","128.79","21"
117,"CANDLES GRAPES",6,"NC-17","74.85","53.92","128.77","23"
331,"FORWARD TEMPLE",6,"NC-17","47.84","80.84","128.68","32"
878,"TEEN APOLLO",3,"G","24.95","102.88","127.83","17"
818,"SOMETHING DUCK",4,"NC-17","44.91","82.90","127.81","19"
814,"SNATCH SLIPPER",6,"PG","64.87","62.91","127.78","22"
300,"FALCON VOLUME",5,"PG-13","75.84","51.93","127.77","22"
908,"TRAP GUYS",3,"G","24.95","101.89","126.84","16"
583,"MISSION ZOOLANDER",3,"PG-13","34.93","91.89","126.82","18"
6,"AGENT TRUMAN",3,"PG","5.98","120.81","126.79","21"
755,"SABRINA MIDNIGHT",5,"PG","54.89","71.90","126.79","21"
334,"FREDDY STORM",6,"NC-17","69.86","56.91","126.77","23"
109,"BUTTERFLY CHOCOLAT",3,"G","5.94","118.75","124.69","31"
854,"STRANGERS GRAFFITI",4,"R","34.93","88.90","123.83","17"
243,"DOORS PRESIDENT",3,"NC-17","49.90","73.91","123.81","19"
556,"MALTESE HOPE",6,"PG-13","79.84","43.94","123.78","22"
891,"TIMBERLAND SKY",3,"G","8.91","114.78","123.69","31"
964,"WATERFRONT DELIVERANCE",4,"G","24.95","96.88","121.83","17"
805,"SLEEPLESS MONSOON",5,"G","59.88","61.92","121.80","20"
915,"TRUMAN CRAZY",7,"G","89.82","31.95","121.77","23"
768,"SCARFACE BANG",3,"PG-13","34.93","85.89","120.82","18"
415,"HIGH ENCINO",3,"R","17.94","102.84","120.78","22"
710,"RAGE GAMES",4,"R","54.89","64.92","119.81","19"
354,"GHOST GROUNDHOG",6,"G","69.86","49.93","119.79","21"
25,"ANGELS LIFE",3,"G","20.93","98.85","119.78","22"
961,"WASH HEAVENLY",7,"R","94.81","24.96","119.77","23"
506,"LADY STAGE",4,"PG","39.92","78.91","118.83","17"
222,"DESERT POSEIDON",4,"R","44.91","73.90","118.81","19"
676,"PHILADELPHIA WIFE",7,"PG-13","74.85","43.93","118.78","23"
946,"VIRTUAL SPOILERS",3,"NC-17","14.97","102.89","117.86","14"
887,"THIEF PELICAN",5,"PG-13","39.92","77.89","117.81","19"
100,"BROOKLYN DESERT",7,"R","69.86","46.93","116.79","21"
776,"SECRET GROUNDHOG",6,"PG","69.86","46.93","116.79","21"
502,"KNOCK WARLOCK",4,"PG-13","26.91","89.85","116.76","24"
397,"HANKY OCTOBER",5,"NC-17","35.88","80.86","116.74","26"
738,"ROCKETEER MOTHER",3,"PG-13","10.89","105.78","116.67","33"
346,"GALAXY SWEETHEARTS",4,"R","44.91","70.91","115.82","18"
694,"PREJUDICE OLEANDER",6,"PG-13","59.88","55.92","115.80","20"
827,"SPICE SORORITY",5,"NC-17","64.87","50.93","115.80","20"
255,"DRIVING POLISH",6,"NC-17","79.84","35.95","115.79","21"
69,"BEVERLY OUTLAW",3,"R","17.94","97.85","115.79","21"
183,"CONVERSATION DOWNHILL",4,"R","24.95","89.88","114.83","17"
922,"UNDEFEATED DALMATIONS",7,"PG-13","74.85","39.94","114.79","21"
35,"ARACHNOPHOBIA ROLLERCOASTER",4,"PG-13","20.93","93.83","114.76","24"
450,"IDOLS SNATCHERS",5,"NC-17","56.81","57.89","114.70","30"
396,"HANGING DEEP",5,"G","49.90","63.91","113.81","19"
720,"REDEMPTION COMFORTS",3,"NC-17","17.94","95.86","113.80","20"
637,"OPEN AFRICAN",7,"PG","74.85","38.94","113.79","21"
857,"STRICTLY SCARFACE",3,"PG-13","23.92","89.85","113.77","23"
777,"SECRETARY ROUGE",5,"PG","39.92","72.90","112.82","18"
433,"HORN WORKING",4,"PG","35.88","76.88","112.76","24"
162,"CLUELESS BUCKET",4,"R","38.87","73.88","112.75","25"
349,"GANGS PRIDE",4,"PG-13","44.85","67.88","112.73","27"
77,"BIRDS PERDITION",5,"G","49.90","61.92","111.82","18"
871,"SWEDEN SHINING",6,"PG","45.90","65.91","111.81","18"
590,"MONEY HAROLD",3,"PG","20.93","90.87","111.80","20"
304,"FARGO GANDHI",3,"G","38.87","72.89","111.76","24"
654,"PANKY SUBMARINE",4,"G","14.97","95.88","110.85","15"
260,"DUDE BLINDNESS",3,"G","29.94","80.90","110.84","16"
294,"EXPECATIONS NATURAL",5,"PG-13","44.91","65.91","110.82","18"
139,"CHASING FIGHT",7,"PG","54.89","55.92","110.81","20"
725,"REQUIEM TYCOON",6,"R","54.89","55.92","110.81","19"
723,"REIGN GENTLEMEN",3,"PG-13","17.94","92.86","110.80","20"
895,"TOMORROW HUSTLER",3,"R","32.89","77.86","110.75","25"
382,"GRIT CLOCKWORK",3,"PG","8.91","101.77","110.68","32"
216,"DAY UNFAITHFUL",3,"G","19.96","89.90","109.86","14"
95,"BREAKFAST GOLDFINGER",5,"G","34.93","74.90","109.83","17"
785,"SHAWSHANK BUBBLE",6,"PG","54.89","54.92","109.81","19"
486,"JET NEIGHBORS",7,"R","64.87","44.93","109.80","20"
378,"GREATEST NORTH",5,"NC-17","53.82","55.89","109.71","29"
319,"FISH OPUS",4,"R","32.89","75.86","108.75","25"
760,"SAMURAI LION",5,"G","38.87","69.88","108.75","25"
739,"ROCKY WAR",4,"PG-13","34.93","72.91","107.84","16"
170,"COMMAND DARLING",5,"PG-13","29.94","77.90","107.84","16"
484,"JERK PAYCHECK",3,"NC-17","17.94","89.86","107.80","20"
823,"SOUTH WAIT",4,"R","23.92","83.86","107.78","22"
59,"BEAR GRACELAND",4,"R","23.92","83.86","107.78","22"
305,"FATAL HAUNTED",6,"PG","53.82","53.90","107.72","28"
759,"SALUTE APOLLO",4,"R","35.88","70.89","106.77","23"
199,"CUPBOARD SINNERS",4,"R","26.91","79.86","106.77","23"
356,"GIANT TROOPERS",5,"R","56.81","49.91","106.72","28"
859,"SUGAR WONKA",3,"PG","34.93","70.90","105.83","17"
512,"LEAGUE HELLFIGHTERS",5,"PG-13","49.90","55.93","105.83","17"
370,"GORGEOUS BINGO",4,"R","14.95","90.86","105.81","19"
668,"PEAK FOREVER",7,"PG","74.85","30.95","105.80","20"
274,"EGG IGBY",4,"PG","20.93","84.86","105.79","21"
735,"ROBBERS JOON",7,"PG-13","68.77","36.92","105.69","31"
969,"WEST LION",4,"G","39.92","64.92","104.84","16"
845,"STEPMOM DREAM",7,"NC-17","84.83","19.97","104.80","20"
37,"ARIZONA BANG",3,"PG","23.92","80.87","104.79","21"
445,"HYDE DOCTOR",5,"G","58.81","45.92","104.73","26"
919,"TYCOON GATHERING",3,"G","9.98","93.90","103.88","12"
251,"DRAGONFLY STRANGERS",6,"NC-17","59.88","43.94","103.82","18"
184,"CORE SUIT",3,"PG-13","17.94","85.88","103.82","18"
571,"METAL ARMAGEDDON",6,"PG-13","32.89","70.86","103.75","25"
468,"INVASION CYCLONE",5,"PG","47.84","55.89","103.73","27"
285,"ENGLISH BULWORTH",3,"PG-13","8.91","94.79","103.70","30"
71,"BILKO ANONYMOUS",3,"PG-13","14.97","87.90","102.87","13"
336,"FRENCH HOLIDAY",5,"PG","44.91","57.92","102.83","17"
175,"CONFUSED CANDLES",3,"PG-13","11.96","90.87","102.83","17"
385,"GROUNDHOG UNCUT",6,"PG-13","54.89","47.93","102.82","18"
8,"AIRPORT POLLOCK",6,"R","44.91","57.91","102.82","18"
665,"PATTON INTERVIEW",4,"PG","29.90","72.87","102.77","23"
44,"ATTACKS HATE",5,"PG-13","34.93","66.91","101.84","16"
749,"RULES HUMAN",6,"R","29.94","71.90","101.84","16"
666,"PAYCHECK WAIT",4,"PG-13","34.93","66.91","101.84","16"
101,"BROTHERHOOD BLANKET",3,"R","6.93","94.81","101.74","26"
114,"CAMELOT VACATION",3,"NC-17","6.93","94.80","101.73","27"
65,"BEHAVIOR RUNAWAY",3,"PG","19.96","80.91","100.87","13"
708,"QUILLS BULL",4,"R","39.92","60.92","100.84","16"
691,"POSEIDON FOREVER",6,"PG-13","49.90","50.93","100.83","17"
447,"ICE CROSSING",5,"R","41.86","58.90","100.76","24"
476,"JASON TRAP",5,"NC-17","38.87","61.89","100.76","24"
570,"MERMAID INSECTS",5,"NC-17","44.91","54.93","99.84","16"
179,"CONQUERER NUTS",4,"G","49.90","49.94","99.84","16"
451,"IGBY MAKER",7,"NC-17","74.85","24.96","99.81","19"
789,"SHOCK CABIN",7,"PG-13","71.76","27.94","99.70","30"
392,"HALL CASSIDY",5,"NC-17","49.90","48.94","98.84","16"
678,"PICKUP DRIVING",3,"G","8.97","89.87","98.84","16"
70,"BIKINI BORROWERS",7,"NC-17","44.91","53.92","98.83","17"
483,"JERICHO MULAN",3,"NC-17","17.94","80.89","98.83","17"
398,"HANOVER GALAXY",5,"NC-17","59.88","38.95","98.83","17"
51,"BALLOON HOMEWARD",5,"NC-17","32.89","65.88","98.77","23"
873,"SWEETHEARTS SUSPECTS",3,"G","9.90","88.81","98.71","29"
559,"MARRIED GO",7,"G","74.75","23.95","98.70","30"
980,"WIZARD COLDBLOODED",4,"PG","44.91","52.93","97.84","16"
414,"HELLFIGHTERS SIERRA",3,"PG","23.92","73.88","97.80","20"
772,"SEA VIRGIN",4,"PG","26.91","70.87","97.78","22"
295,"EXPENDABLE STALLION",3,"PG","6.93","90.79","97.72","28"
226,"DESTINY SATURDAY",4,"G","49.90","46.94","96.84","16"
116,"CANDIDATE PERDITION",4,"R","18.93","77.88","96.81","18"
930,"VACATION BOONDOCK",4,"R","29.90","66.89","96.79","21"
55,"BARBARELLA STREETCAR",6,"G","38.87","57.88","96.75","25"
220,"DEER VIRGINIAN",7,"NC-17","59.80","36.92","96.72","29"
489,"JUGGLER HARDLY",4,"PG-13","11.88","84.80","96.68","32"
203,"DAISY MENAGERIE",5,"G","49.90","45.94","95.84","16"
456,"INCH JET",6,"NC-17","69.86","25.96","95.82","18"
649,"OZ LIAISONS",4,"R","38.87","56.89","95.76","24"
773,"SEABISCUIT PUNK",6,"NC-17","50.83","44.91","95.74","26"
609,"MUSCLE BRIGHT",7,"G","80.73","14.97","95.70","30"
365,"GOLD RIVER",4,"R","29.94","64.92","94.86","14"
835,"SPY MILE",6,"PG-13","56.81","37.92","94.73","27"
588,"MODEL FISH",4,"NC-17","39.92","53.93","93.85","15"
944,"VIRGIN DAISY",6,"PG-13","54.89","38.94","93.83","17"
265,"DYING MAKER",5,"PG","59.88","33.95","93.83","17"
212,"DARN FORRESTER",7,"G","74.85","18.97","93.82","18"
166,"COLOR PHILADELPHIA",6,"G","41.86","51.90","93.76","24"
958,"WARDROBE PHANTOM",6,"G","59.80","33.93","93.73","27"
98,"BRIGHT ENCOUNTERS",4,"PG-13","29.94","62.93","92.87","13"
321,"FLASH WARS",3,"NC-17","24.95","67.92","92.87","13"
272,"EDGE KISSING",5,"NC-17","34.93","57.92","92.85","15"
704,"PURE RUNNER",3,"NC-17","8.97","83.87","92.84","16"
611,"MUSKETEERS WAIT",7,"PG","64.87","27.96","92.83","17"
806,"SLEEPY JAPANESE",4,"PG","26.91","65.89","92.80","21"
798,"SILVERADO GOLDFINGER",4,"PG","14.97","76.91","91.88","12"
68,"BETRAYED REAR",5,"NC-17","44.91","46.94","91.85","15"
757,"SAGEBRUSH CLUELESS",4,"G","14.95","76.89","91.84","16"
803,"SLACKER LIAISONS",7,"R","59.88","31.95","91.83","17"
4,"AFFAIR PREJUDICE",5,"G","38.87","52.90","91.77","23"
880,"TELEMARK HEARTBREAKERS",6,"PG-13","50.83","40.92","91.75","25"
391,"HALF OUTFIELD",6,"PG-13","47.84","43.91","91.75","26"
78,"BLACKOUT PRIVATE",7,"PG","59.80","31.93","91.73","27"
177,"CONNECTICUT TRAMP",4,"R","14.97","75.90","90.87","13"
115,"CAMPUS REMEMBER",5,"R","17.94","72.87","90.81","19"
57,"BASIC EASY",4,"PG-13","32.89","57.90","90.79","21"
15,"ALIEN CENTER",5,"NC-17","38.87","51.91","90.78","22"
322,"FLATLINERS KILLER",5,"G","38.87","51.91","90.78","22"
277,"ELEPHANT TROJAN",4,"PG-13","34.93","54.93","89.86","14"
141,"CHICAGO NORTH",6,"PG-13","54.89","34.95","89.84","16"
165,"COLDBLOODED DARLING",7,"G","44.91","44.93","89.84","16"
234,"DISTURBING SCARFACE",6,"R","65.78","23.96","89.74","26"
682,"PITTSBURGH HUNCHBACK",4,"PG-13","9.98","78.90","88.88","12"
568,"MEMENTO ZOOLANDER",4,"NC-17","29.94","58.93","88.87","13"
597,"MOONWALKER FOOL",5,"G","24.95","63.92","88.87","13"
532,"LOSER HUSTLER",5,"PG","34.93","53.92","88.85","15"
655,"PANTHER REDS",5,"NC-17","49.90","38.95","88.85","15"
858,"SUBMARINE BED",5,"R","49.90","38.95","88.85","15"
686,"PLUTO OLEANDER",5,"R","59.88","28.96","88.84","16"
753,"RUSH GOODFELLAS",3,"PG","10.89","77.80","88.69","31"
151,"CINCINATTI WHISPERER",5,"NC-17","24.95","62.92","87.87","13"
446,"HYSTERICAL GRAIL",5,"PG","39.92","47.93","87.85","15"
936,"VANISHING ROCKY",3,"NC-17","23.92","63.90","87.82","18"
329,"FORREST SONS",4,"R","14.95","72.87","87.82","18"
628,"NORTHWEST POLISH",5,"PG","20.93","66.87","87.80","20"
43,"ATLANTIS CAUSE",6,"G","47.84","39.92","87.76","24"
434,"HORROR REIGN",3,"R","9.90","77.83","87.73","27"
638,"OPERATION OPERATION",7,"G","62.79","24.94","87.73","27"
867,"SUPER WYOMING",5,"PG","24.95","61.92","86.87","13"
956,"WANDA CHAMBER",7,"PG-13","54.89","31.95","86.84","16"
480,"JEEPERS WEDDING",3,"R","14.95","71.89","86.84","16"
510,"LAWLESS VISION",6,"G","59.88","26.96","86.84","17"
481,"JEKYLL FROGMEN",4,"PG","20.93","65.90","86.83","17"
841,"STAR OPERATION",5,"PG","35.88","50.91","86.79","21"
852,"STRANGELOVE DESIRE",4,"NC-17","4.95","81.81","86.76","24"
134,"CHAMPION FLATLINERS",4,"PG","24.95","60.92","85.87","13"
844,"STEERS ARMAGEDDON",6,"PG","49.90","35.95","85.85","15"
28,"ANTHEM LUKE",5,"PG-13","54.89","30.96","85.85","15"
443,"HURRICANE AFFAIR",6,"PG","50.83","34.93","85.76","24"
154,"CLASH FREDDY",6,"G","56.81","28.94","85.75","25"
181,"CONTACT ANONYMOUS",7,"PG-13","59.80","25.94","85.74","26"
901,"TRACY CIDER",3,"G","7.92","77.82","85.74","26"
471,"ISLAND EXORCIST",7,"NC-17","62.79","22.95","85.74","26"
46,"AUTUMN CROW",3,"G","14.97","69.92","84.89","11"
711,"RAGING AIRPLANE",4,"R","29.94","54.93","84.87","13"
667,"PEACH INNOCENT",3,"PG-13","19.94","64.91","84.85","14"
169,"COMFORTS RUSH",3,"NC-17","23.92","60.91","84.83","17"
83,"BLUES INSTINCT",5,"G","35.88","48.91","84.79","21"
608,"MURDER ANTITRUST",6,"PG","47.84","36.93","84.77","23"
